station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes,att_sample_rate_hz,waveform_sample_rate_hz,att_trace_start,att_trace_end,waveform_trace_start,waveform_trace_end,att_gap_fraction,att_longest_gap_seconds,waveform_gap_fraction,waveform_longest_gap_seconds,day_integrity_status,candidate_scan_window_count,passing_scan_window_count,scannable_union_seconds
S15,1972,271,levent-04800,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1533977,1.65625,6.625,1972-09-27T00:00:00.228000Z,1972-09-28T00:00:04.454415Z,1972-09-27T00:00:00.322000Z,1972-09-28T00:00:05.001245Z,0.04050088045392291,3495.245283018868,0.04057599854655226,3495.245283018868,usable_integrity,1431,1366,83040
S15,1972,278,levent-04835,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1972-10-04T00:00:00.489000Z,1972-10-05T00:00:00.489000Z,1972-10-04T00:00:00.564000Z,1972-10-05T00:00:01.016830Z,0.0007547117071159531,30.79245283018868,0.0007564587249564992,30.79245283018868,usable_integrity,1431,1431,86400
S15,1973,280,levent-07147,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1973-10-07T00:00:00.592000Z,1973-10-08T00:00:04.818415Z,1973-10-07T00:00:00.667000Z,1973-10-08T00:00:05.346245Z,0.004010956759929563,135.8490566037736,0.004133242027000587,135.8490566037736,usable_integrity,1431,1422,86400
S15,1974,193,levent-08273,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1974-07-12T00:00:00.317000Z,1974-07-13T00:00:00.920774Z,1974-07-12T00:00:00.392000Z,1974-07-13T00:00:01.448604Z,0.005723190451566016,156.9811320754717,0.005819275761345054,156.9811320754717,usable_integrity,1431,1423,86400
S15,1974,295,levent-08634,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1974-10-22T00:00:00.296000Z,1974-10-23T00:00:00.296000Z,1974-10-22T00:00:00.371000Z,1974-10-23T00:00:00.823830Z,0.00447236567179824,282.5660377358491,0.004477606725319879,282.5660377358491,usable_integrity,1431,1421,86340
S15,1974,328,levent-08762,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1974-11-24T00:00:00.123000Z,1974-11-25T00:00:03.745642Z,1974-11-24T00:00:00.236000Z,1974-11-25T00:00:04.311472Z,0.09666193826996583,3757.8867924528304,0.09666368521455973,3757.8867924528304,usable_integrity,1431,1261,78360
S15,1974,330,levent-08767,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1974-11-26T00:00:00.492000Z,1974-11-27T00:00:04.114642Z,1974-11-26T00:00:00.567000Z,1974-11-27T00:00:04.642472Z,0.0003983033674103992,27.77358490566038,0.0004454708714458412,27.77358490566038,usable_integrity,1431,1431,86400
S15,1975,016,levent-08919,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1975-01-16T00:00:00.088000Z,1975-01-17T00:00:00.691774Z,1975-01-16T00:00:00.163000Z,1975-01-17T00:00:01.219604Z,0.0007826585232910791,64.60377358490567,0.0007844055289234252,64.60377358490567,usable_integrity,1431,1431,86400
S15,1975,079,levent-09107,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1542169,1.65625,6.625,1975-03-20T00:00:00.539000Z,1975-03-21T00:00:01.142774Z,1975-03-20T00:00:00.633000Z,1975-03-21T00:00:01.689604Z,0.0011390476722896955,94.18867924528301,0.0016614023563611968,94.18867924528301,usable_integrity,1431,1431,86400
S15,1975,171,levent-09343,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1975-06-20T00:00:00.445000Z,1975-06-21T00:00:04.067642Z,1975-06-20T00:00:00.520000Z,1975-06-21T00:00:04.595472Z,0.000908411188830735,77.88679245283019,0.0009346153577393139,77.88679245283019,usable_integrity,1431,1431,86400
S15,1975,361,levent-09963,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1975-12-27T00:00:00.459000Z,1975-12-27T23:59:59.251453Z,1975-12-27T00:00:00.534000Z,1975-12-27T23:59:59.779283Z,0.025968036114857547,1253.433962264151,0.02600297696000671,1253.433962264151,usable_integrity,1431,1361,82740
S15,1976,075,levent-10229,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1976-03-15T00:00:00.578000Z,1976-03-16T00:00:04.804415Z,1976-03-15T00:00:00.653000Z,1976-03-16T00:00:05.332245Z,0.002585459932358778,82.11320754716981,0.0025924476619056938,82.11320754716981,usable_integrity,1431,1422,86400
S15,1976,136,levent-10495,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1976-05-15T00:00:00.305000Z,1976-05-16T00:00:02.720094Z,1976-05-15T00:00:00.380000Z,1976-05-16T00:00:03.247925Z,0.04353446769854303,3640.754716981132,0.00137835854791936,4.226415094339623,usable_integrity,1431,1364,82920
S15,1977,017,levent-11666,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1977-01-17T00:01:48.953611Z,1977-01-18T00:00:02.085686Z,1977-01-17T00:01:49.028611Z,1977-01-18T00:00:02.613517Z,0.06607007920293302,2017.811320754717,0.06612430382580953,2017.811320754717,usable_integrity,1431,1311,81360
S15,1977,111,levent-12112,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881,1.65625,6.625,1977-04-21T00:00:00.582000Z,1977-04-22T00:00:01.789547Z,1977-04-21T00:00:00.676000Z,1977-04-22T00:00:02.336377Z,0.02334682012256906,1902.4905660377358,0.023428928813511947,1902.4905660377358,usable_integrity,1431,1393,84660
S15,1977,115,levent-12124,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881,1.65625,6.625,1977-04-25T00:00:00.158000Z,1977-04-26T00:00:01.969321Z,1977-04-25T00:00:00.252000Z,1977-04-26T00:00:02.516151Z,0.00910526610017889,746.2641509433962,0.009120988931127012,746.2641509433962,usable_integrity,1431,1412,85800
S16,1972,156,levent-03617,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1972-06-04T00:00:00.447000Z,1972-06-05T00:00:05.880962Z,1972-06-04T00:00:00.522000Z,1972-06-05T00:00:06.408792Z,0.0002515547480958703,18.11320754716981,0.0002533016560687583,18.11320754716981,usable_integrity,1431,1431,86400
S16,1972,236,levent-04504,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1972-08-23T00:00:00.450000Z,1972-08-24T00:00:05.280189Z,1972-08-23T00:00:00.525000Z,1972-08-24T00:00:05.808019Z,0.0026343556310225074,160.0,0.002639596391561677,160.0,usable_integrity,1431,1421,86340
S16,1972,263,levent-04716,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1505305,1.65625,6.625,1972-09-19T00:00:00.104000Z,1972-09-19T23:33:42.443623Z,1972-09-19T00:00:00.217000Z,1972-09-19T23:33:42.556623Z,0.0031604122772051707,235.47169811320754,0.0031586496283470566,235.47169811320754,usable_integrity,1431,1396,84840
S16,1972,269,levent-04786,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1972-09-25T00:00:00.406000Z,1972-09-26T00:00:05.839962Z,1972-09-25T00:00:00.481000Z,1972-09-26T00:00:06.367792Z,0.0055691426175669065,207.0943396226415,0.005605827684997554,207.0943396226415,usable_integrity,1431,1417,86100
S16,1973,264,levent-07080,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1973-09-21T00:00:00.048000Z,1973-09-21T23:59:56.425358Z,1973-09-21T00:00:00.123000Z,1973-09-21T23:59:56.953189Z,0.1864216080226423,14061.88679245283,0.1864320905692023,14061.88679245283,questionable_integrity,1431,1153,70800
S16,1974,071,levent-07847,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1974-03-12T00:00:00.396000Z,1974-03-13T00:00:04.622415Z,1974-03-12T00:00:00.471000Z,1974-03-13T00:00:05.150245Z,7.686502501607178e-05,5.433962264150943,0.0002166196159543841,5.433962264150943,usable_integrity,1431,1431,86400
S16,1974,119,levent-08023,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1161241,1.65625,6.625,1974-04-29T05:51:28.052362Z,1974-04-30T00:00:03.675004Z,1974-04-29T05:51:28.165362Z,1974-04-30T00:00:04.240834Z,0.001395821778517286,6.037735849056604,0.0014258643002403402,6.037735849056604,usable_integrity,1431,1081,65400
S16,1974,330,levent-08768,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1974-11-26T00:00:00.367000Z,1974-11-27T00:00:03.989642Z,1974-11-26T00:00:00.442000Z,1974-11-27T00:00:04.517472Z,0.0007616678429426932,42.264150943396224,0.00080708840238423,42.56603773584906,usable_integrity,1431,1431,86400
S16,1975,020,levent-08925,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1975-01-20T00:00:00.451000Z,1975-01-21T00:00:03.469868Z,1975-01-20T00:00:00.564000Z,1975-01-21T00:00:04.035698Z,0.0052758095397817005,196.83018867924528,0.005300266934999231,196.83018867924528,usable_integrity,1431,1422,86400
S16,1975,105,levent-09181,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1975-04-15T00:00:00.186000Z,1975-04-16T00:00:01.997321Z,1975-04-15T00:00:00.261000Z,1975-04-16T00:00:02.525151Z,0.006554673524150268,411.1698113207547,0.006556420505366726,411.1698113207547,usable_integrity,1431,1417,86100
S16,1975,272,levent-09664,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1975-09-29T00:00:00.277000Z,1975-09-30T00:00:02.088321Z,1975-09-29T00:00:00.352000Z,1975-09-30T00:00:02.616151Z,6.987924865831843e-06,0.6037735849056604,1.2228868515205725e-05,0.6037735849056604,usable_integrity,1431,1431,86400
S16,1975,348,levent-09924,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1975-12-14T00:00:00.006000Z,1975-12-15T00:00:04.232415Z,1975-12-14T00:00:00.081000Z,1975-12-15T00:00:04.760245Z,9.084048410990301e-05,4.226415094339623,0.00010481594320373424,4.226415094339623,usable_integrity,1431,1431,86400
S16,1975,358,levent-09956,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1975-12-24T00:00:00.321000Z,1975-12-25T00:00:02.132321Z,1975-12-24T00:00:00.434000Z,1975-12-25T00:00:02.698151Z,0.00017469812164579607,3.018867924528302,0.0001816860465116279,3.018867924528302,usable_integrity,1431,1431,86400
S16,1977,117,levent-12159,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1977-04-27T00:00:00.071000Z,1977-04-27T23:59:58.259679Z,1977-04-27T00:00:00.184000Z,1977-04-27T23:59:58.825509Z,0.00933625906721268,365.8867924528302,0.00935722372080672,365.8867924528302,usable_integrity,1431,1405,85920
S16,1977,143,levent-12381,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1977-05-23T00:00:00.577000Z,1977-05-24T00:00:05.407189Z,1977-05-23T00:00:00.652000Z,1977-05-24T00:00:05.935019Z,0.00020963042156677778,12.679245283018869,6.987680718892592e-05,3.018867924528302,usable_integrity,1431,1431,86400
S16,1977,206,levent-12782,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1533977,1.65625,6.625,1977-07-25T00:00:00.042000Z,1977-07-26T00:00:06.683509Z,1977-07-25T00:00:00.136000Z,1977-07-26T00:00:07.230340Z,0.0017957962994018671,22.339622641509433,0.0021416792442282965,22.339622641509433,usable_integrity,1431,1431,86400
