batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
1,levent-00683,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00685,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00689,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00695,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00696,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00701,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00702,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00721,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00723,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00747,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00748,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00752,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00756,artificial_impact_lm,S14,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-00766,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00766,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00767,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00767,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00781,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00781,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
